Time,Open,High,Low,Close,Adj Close,Volume
2024-05-31 12:00:00-04:00,203.74,203.75,203.4179,203.48,203.48,368884
2024-05-31 11:30:00-04:00,203.9,204.09,203.63,203.75,203.75,983962
2024-05-31 11:00:00-04:00,204.26,204.3,203.785,203.8901,203.8901,1364330
2024-05-31 10:30:00-04:00,204.4185,204.435,203.79,204.26,204.26,1444174
2024-05-31 10:00:00-04:00,205.4,205.45,204.33,204.415,204.415,1495184
2024-05-31 09:30:00-04:00,204.95,206.28,204.47,205.42,205.42,3600138
2024-05-30 15:30:00-04:00,204.22,204.285,203.26,204.08,204.08,3717675
2024-05-30 15:00:00-04:00,204.32,204.38,203.84,204.22,204.22,1670166
2024-05-30 14:30:00-04:00,204.5,204.6,204.25,204.32,204.32,529525
2024-05-30 14:00:00-04:00,204.76,204.76,204.18,204.52,204.52,1059339
2024-05-30 13:30:00-04:00,204.76,204.93,204.58,204.765,204.765,12527936
2024-05-30 13:00:00-04:00,204.78,204.939,204.59,204.75,204.75,1097847
2024-05-30 12:30:00-04:00,204.6,204.87,204.555,204.7799,204.7799,768621
2024-05-30 12:00:00-04:00,204.44,204.8799,204.44,204.6,204.6,982608
2024-05-30 11:30:00-04:00,204.615,204.755,204.39,204.43,204.43,1084394
2024-05-30 11:00:00-04:00,204.08,204.64,203.73,204.615,204.615,1248610
2024-05-30 10:30:00-04:00,203.96,204.29,203.69,204.085,204.085,975636
2024-05-30 10:00:00-04:00,203.82,204.16,203.259,203.965,203.965,1596648
2024-05-30 09:30:00-04:00,203.7,203.9,203.0802,203.8,203.8,3717006
2024-05-29 15:30:00-04:00,202.33,202.42,201.98,202.17,202.17,4851674
2024-05-29 15:00:00-04:00,202.04,202.5,201.99,202.345,202.345,1732865
2024-05-29 14:30:00-04:00,202.13,202.38,201.92,202.04,202.04,1358614
2024-05-29 14:00:00-04:00,202.47,202.55,202.13,202.15,202.15,1002679
2024-05-29 13:30:00-04:00,202.6,202.64,202.18,202.52,202.52,1276982
2024-05-29 13:00:00-04:00,202.67,202.7,202.1,202.6,202.6,1202510
2024-05-29 12:30:00-04:00,202.66,202.775,202.3001,202.66,202.66,1605608
2024-05-29 12:00:00-04:00,202.46,202.77,202.21,202.66,202.66,914677
2024-05-29 11:30:00-04:00,202.61,202.62,202.29,202.46,202.46,792750
2024-05-29 11:00:00-04:00,202.59,202.77,202.2895,202.62,202.62,1007339
2024-05-29 10:30:00-04:00,202.69,202.945,202.3,202.6,202.6,1237037
2024-05-29 10:00:00-04:00,202.66,203.005,202.43,202.69,202.69,1581328
2024-05-29 09:30:00-04:00,202.255,202.715,201.78,202.65,202.65,4939462
2024-05-28 15:30:00-04:00,204.63,205.22,204.62,205.19,205.19,2103885
2024-05-28 15:00:00-04:00,204.49,204.885,204.445,204.63,204.63,1232691
2024-05-28 14:30:00-04:00,204.37,204.54,203.965,204.5,204.5,1728162
2024-05-28 14:00:00-04:00,205.01,205.19,204.35,204.37,204.37,1586536
2024-05-28 13:30:00-04:00,205.575,205.72,204.831,205.02,205.02,1054871
2024-05-28 13:00:00-04:00,205.831,205.88,205.38,205.57,205.57,869488
2024-05-28 12:30:00-04:00,205.9199,206.19,205.79,205.83,205.83,637563
2024-05-28 12:00:00-04:00,206.22,206.31,205.875,205.91,205.91,675568
2024-05-28 11:30:00-04:00,206.08,206.305,205.79,206.23,206.23,786158
2024-05-28 11:00:00-04:00,205.83,206.19,205.455,206.08,206.08,979878
2024-05-28 10:30:00-04:00,205.64,206.13,205.22,205.82,205.82,1281144
2024-05-28 10:00:00-04:00,205.96,205.97,205.31,205.645,205.645,1684572
2024-05-28 09:30:00-04:00,206.97,207.09,205.82,205.92,205.92,2810474
2024-05-24 15:30:00-04:00,204.96,205.52,204.93,205.45,205.45,3150656
2024-05-24 15:00:00-04:00,204.91,205.06,204.62,204.99,204.99,1012911
2024-05-24 14:30:00-04:00,204.945,205.125,204.875,204.915,204.915,760048
2024-05-24 14:00:00-04:00,205.245,205.395,204.94,204.94,204.94,971844
2024-05-24 13:30:00-04:00,205.3,205.33,205.145,205.25,205.25,719385
2024-05-24 13:00:00-04:00,205.18,205.41,205.115,205.33,205.33,639595
2024-05-24 12:30:00-04:00,205.49,205.51,205.1783,205.1783,205.1783,780284
2024-05-24 12:00:00-04:00,205.13,205.56,205.1,205.47,205.47,810728
2024-05-24 11:30:00-04:00,205.395,205.61,205.025,205.1301,205.1301,1491097
2024-05-24 11:00:00-04:00,205.19,205.68,205.1,205.4,205.4,1343145
2024-05-24 10:30:00-04:00,205.07,205.185,204.545,205.18,205.18,1686011
2024-05-24 10:00:00-04:00,204.12,205.12,204.12,205.06,205.06,2242209
2024-05-24 09:30:00-04:00,204.79,204.845,203.96,204.1,204.1,2907584
2024-05-23 15:30:00-04:00,202.795,203.31,202.725,203.25,203.25,4912710
2024-05-23 15:00:00-04:00,202.42,202.92,202.4,202.795,202.795,2443648
2024-05-23 14:30:00-04:00,202.52,202.87,202.35,202.43,202.43,1967346
2024-05-23 14:00:00-04:00,203.3,203.31,202.4,202.53,202.53,4870730
2024-05-23 13:30:00-04:00,204.61,204.61,203.25,203.29,203.29,2182824
2024-05-23 13:00:00-04:00,204.75,204.84,204.25,204.61,204.61,1615768
2024-05-23 12:30:00-04:00,205.59,205.815,204.75,204.755,204.755,1063666
2024-05-23 12:00:00-04:00,205.44,205.652,205.16,205.59,205.59,947425
2024-05-23 11:30:00-04:00,205.21,205.65,205.09,205.44,205.44,857739
2024-05-23 11:00:00-04:00,204.57,205.4999,204.55,205.22,205.22,1788394
2024-05-23 10:30:00-04:00,205.32,205.39,204.48,204.57,204.57,1592185
2024-05-23 10:00:00-04:00,205.47,205.905,205.02,205.3,205.3,1923527
2024-05-23 09:30:00-04:00,207.51,207.62,205.11,205.47,205.47,4069985
2024-05-22 15:30:00-04:00,206.355,206.8,206.075,206.62,206.62,3990367
2024-05-22 15:00:00-04:00,206.32,206.6875,205.94,206.36,206.36,1800874
2024-05-22 14:30:00-04:00,206.08,206.39,205.8,206.32,206.32,2026675
2024-05-22 14:00:00-04:00,207.59,207.59,205.9,205.93,205.93,2098127
2024-05-22 13:30:00-04:00,207.82,207.93,207.2,207.595,207.595,1099361
2024-05-22 13:00:00-04:00,207.99,208.136,207.805,207.825,207.825,692781
2024-05-22 12:30:00-04:00,208.1399,208.22,207.99,207.9946,207.9946,604414
2024-05-22 12:00:00-04:00,207.67,208.17,207.64,208.14,208.14,510073
2024-05-22 11:30:00-04:00,207.64,207.81,207.43,207.67,207.67,674007
2024-05-22 11:00:00-04:00,208.03,208.1,207.52,207.645,207.645,625603
2024-05-22 10:30:00-04:00,207.8,208.06,207.691,208.03,208.03,738411
2024-05-22 10:00:00-04:00,207.935,207.95,207.34,207.8,207.8,1311854
2024-05-22 09:30:00-04:00,207.53,208.15,207.16,207.91,207.91,2378395
2024-05-21 15:30:00-04:00,208.08,208.405,208.075,208.34,208.34,2198216
2024-05-21 15:00:00-04:00,208.14,208.32,208.035,208.085,208.085,1377057
2024-05-21 14:30:00-04:00,208.14,208.2551,207.985,208.14,208.14,505791
2024-05-21 14:00:00-04:00,208.315,208.33,208.145,208.145,208.145,377878
2024-05-21 13:30:00-04:00,208.27,208.36,208.15,208.32,208.32,600500
2024-05-21 13:00:00-04:00,208.28,208.39,208.07,208.275,208.275,918542
2024-05-21 12:30:00-04:00,208.255,208.3298,208.065,208.28,208.28,671748
2024-05-21 12:00:00-04:00,208.015,208.27,207.94,208.25,208.25,633884
2024-05-21 11:30:00-04:00,208.47,208.5467,208.01,208.025,208.025,701031
2024-05-21 11:00:00-04:00,208.49,208.69,208.32,208.47,208.47,754025
