Time,Open,High,Low,Close,Adj Close,Volume
2024-10-08 15:09:00-04:00,217.8999,217.8999,217.8999,217.8999,217.8999,0
2024-10-08 15:08:00-04:00,217.8,217.82,217.76,217.8,217.8,17521
2024-10-08 15:07:00-04:00,217.86,217.86,217.7938,217.7938,217.7938,16826
2024-10-08 15:06:00-04:00,217.95,217.95,217.82,217.86,217.86,76389
2024-10-08 15:05:00-04:00,217.935,217.97,217.915,217.94,217.94,54896
2024-10-08 15:04:00-04:00,217.9,217.95,217.9,217.9401,217.9401,17171
2024-10-08 15:03:00-04:00,217.88,217.92,217.84,217.9,217.9,25629
2024-10-08 15:02:00-04:00,217.92,217.95,217.855,217.864,217.864,9222
2024-10-08 15:01:00-04:00,217.9,217.97,217.82,217.92,217.92,44905
2024-10-08 15:00:00-04:00,218.01,218.01,217.92,217.92,217.92,29922
2024-10-08 14:59:00-04:00,218.06,218.09,218.02,218.03,218.03,14810
2024-10-08 14:58:00-04:00,218.11,218.11,218.01,218.0798,218.0798,18053
2024-10-08 14:57:00-04:00,218.04,218.1,218.04,218.0913,218.0913,13950
2024-10-08 14:56:00-04:00,217.95,218.1,217.95,218.09,218.09,79581
2024-10-08 14:55:00-04:00,217.86,217.94,217.85,217.94,217.94,10748
2024-10-08 14:54:00-04:00,217.955,217.96,217.85,217.855,217.855,0
2024-10-08 14:53:00-04:00,217.95,217.9871,217.94,217.95,217.95,14124
2024-10-08 14:52:00-04:00,217.9,217.95,217.9,217.94,217.94,10109
2024-10-08 14:51:00-04:00,217.915,217.94,217.9,217.9,217.9,10040
2024-10-08 14:50:00-04:00,217.88,217.925,217.88,217.9,217.9,59448
2024-10-08 14:49:00-04:00,217.8825,217.9153,217.87,217.88,217.88,7599
2024-10-08 14:48:00-04:00,217.92,217.92,217.86,217.8873,217.8873,10742
2024-10-08 14:47:00-04:00,217.91,217.93,217.88,217.93,217.93,5344
2024-10-08 14:46:00-04:00,217.89,217.94,217.88,217.8999,217.8999,16301
2024-10-08 14:45:00-04:00,217.95,217.95,217.87,217.87,217.87,7301
2024-10-08 14:44:00-04:00,217.92,217.9779,217.9,217.96,217.96,14862
2024-10-08 14:43:00-04:00,217.92,217.95,217.8999,217.94,217.94,43017
2024-10-08 14:42:00-04:00,217.98,217.98,217.9,217.9,217.9,11274
2024-10-08 14:41:00-04:00,217.99,218.02,217.958,217.97,217.97,28422
2024-10-08 14:40:00-04:00,217.9799,218.02,217.95,217.98,217.98,46495
2024-10-08 14:39:00-04:00,217.945,217.9899,217.9,217.97,217.97,22724
2024-10-08 14:38:00-04:00,217.91,217.9766,217.88,217.95,217.95,31621
2024-10-08 14:37:00-04:00,217.86,218.0,217.85,217.91,217.91,42880
2024-10-08 14:36:00-04:00,217.91,217.91,217.83,217.87,217.87,22119
2024-10-08 14:35:00-04:00,217.92,217.93,217.87,217.92,217.92,22883
2024-10-08 14:34:00-04:00,217.9,217.905,217.82,217.9,217.9,60243
2024-10-08 14:33:00-04:00,217.775,217.8459,217.77,217.815,217.815,27130
2024-10-08 14:32:00-04:00,217.805,217.81,217.76,217.7712,217.7712,7121
2024-10-08 14:31:00-04:00,217.75,217.83,217.74,217.83,217.83,12980
2024-10-08 14:30:00-04:00,217.72,217.765,217.7,217.73,217.73,12652
2024-10-08 14:29:00-04:00,217.7,217.73,217.69,217.715,217.715,16431
2024-10-08 14:28:00-04:00,217.55,217.7,217.55,217.7,217.7,23493
2024-10-08 14:27:00-04:00,217.59,217.59,217.51,217.56,217.56,28003
2024-10-08 14:26:00-04:00,217.64,217.64,217.58,217.59,217.59,17879
2024-10-08 14:25:00-04:00,217.76,217.77,217.64,217.64,217.64,20262
2024-10-08 14:24:00-04:00,217.73,217.77,217.72,217.77,217.77,6559
2024-10-08 14:23:00-04:00,217.76,217.77,217.72,217.72,217.72,15762
2024-10-08 14:22:00-04:00,217.8,217.83,217.72,217.78,217.78,20576
2024-10-08 14:21:00-04:00,217.87,217.9,217.81,217.82,217.82,14912
2024-10-08 14:20:00-04:00,217.86,217.88,217.83,217.878,217.878,13112
2024-10-08 14:19:00-04:00,217.83,217.87,217.8299,217.86,217.86,18688
2024-10-08 14:18:00-04:00,217.82,217.8687,217.82,217.85,217.85,11386
2024-10-08 14:17:00-04:00,217.82,217.82,217.76,217.8,217.8,7528
2024-10-08 14:16:00-04:00,217.825,217.86,217.77,217.82,217.82,17785
2024-10-08 14:15:00-04:00,217.8,217.85,217.8,217.82,217.82,25537
2024-10-08 14:14:00-04:00,217.7982,217.8199,217.79,217.8,217.8,5877
2024-10-08 14:13:00-04:00,217.92,217.92,217.79,217.805,217.805,18656
2024-10-08 14:12:00-04:00,217.87,217.92,217.86,217.9,217.9,10836
2024-10-08 14:11:00-04:00,217.88,217.9,217.84,217.86,217.86,10276
2024-10-08 14:10:00-04:00,217.85,217.8801,217.82,217.88,217.88,18287
2024-10-08 14:09:00-04:00,217.9,217.91,217.82,217.84,217.84,19892
2024-10-08 14:08:00-04:00,217.9,217.945,217.89,217.9199,217.9199,8263
2024-10-08 14:07:00-04:00,217.91,217.93,217.88,217.9,217.9,12196
2024-10-08 14:06:00-04:00,217.9,217.915,217.86,217.91,217.91,53537
2024-10-08 14:05:00-04:00,217.86,217.9,217.83,217.89,217.89,17819
2024-10-08 14:04:00-04:00,217.78,217.855,217.76,217.855,217.855,6025
2024-10-08 14:03:00-04:00,217.81,217.85,217.79,217.8,217.8,10393
2024-10-08 14:02:00-04:00,217.875,217.88,217.82,217.82,217.82,21028
2024-10-08 14:01:00-04:00,217.77,217.88,217.77,217.87,217.87,20317
2024-10-08 14:00:00-04:00,217.85,217.88,217.72,217.74,217.74,8970
2024-10-08 13:59:00-04:00,217.8099,217.85,217.79,217.85,217.85,6682
2024-10-08 13:58:00-04:00,217.75,217.9,217.75,217.83,217.83,17925
2024-10-08 13:57:00-04:00,217.64,217.75,217.64,217.7498,217.7498,25584
2024-10-08 13:56:00-04:00,217.58,217.665,217.58,217.6623,217.6623,3504
2024-10-08 13:55:00-04:00,217.575,217.64,217.57,217.62,217.62,6958
2024-10-08 13:54:00-04:00,217.59,217.615,217.58,217.59,217.59,4597
2024-10-08 13:53:00-04:00,217.56,217.615,217.52,217.59,217.59,19760
2024-10-08 13:52:00-04:00,217.5,217.58,217.47,217.56,217.56,18035
2024-10-08 13:51:00-04:00,217.51,217.53,217.47,217.51,217.51,20084
2024-10-08 13:50:00-04:00,217.54,217.56,217.5,217.52,217.52,13868
2024-10-08 13:49:00-04:00,217.56,217.59,217.55,217.55,217.55,4452
2024-10-08 13:48:00-04:00,217.63,217.65,217.54,217.5793,217.5793,10445
2024-10-08 13:47:00-04:00,217.5699,217.64,217.5699,217.63,217.63,7904
2024-10-08 13:46:00-04:00,217.6,217.63,217.58,217.58,217.58,4791
2024-10-08 13:45:00-04:00,217.61,217.68,217.6,217.61,217.61,14630
2024-10-08 13:44:00-04:00,217.63,217.65,217.61,217.64,217.64,3319
2024-10-08 13:43:00-04:00,217.59,217.66,217.59,217.63,217.63,16782
2024-10-08 13:42:00-04:00,217.59,217.59,217.51,217.58,217.58,13008
2024-10-08 13:41:00-04:00,217.59,217.605,217.5,217.59,217.59,17100
2024-10-08 13:40:00-04:00,217.59,217.62,217.52,217.52,217.52,9394
2024-10-08 13:39:00-04:00,217.63,217.63,217.54,217.56,217.56,4647
2024-10-08 13:38:00-04:00,217.65,217.676,217.63,217.63,217.63,7718
2024-10-08 13:37:00-04:00,217.62,217.67,217.599,217.65,217.65,18263
2024-10-08 13:36:00-04:00,217.7048,217.7048,217.64,217.64,217.64,13621
2024-10-08 13:35:00-04:00,217.63,217.72,217.62,217.69,217.69,15716
2024-10-08 13:34:00-04:00,217.6099,217.65,217.6,217.62,217.62,10879
2024-10-08 13:33:00-04:00,217.55,217.61,217.55,217.61,217.61,2414
2024-10-08 13:32:00-04:00,217.59,217.61,217.56,217.56,217.56,7828
2024-10-08 13:31:00-04:00,217.57,217.6301,217.5601,217.5925,217.5925,11813
2024-10-08 13:30:00-04:00,217.64,217.64,217.55,217.55,217.55,9225
2024-10-08 13:29:00-04:00,217.62,217.67,217.61,217.64,217.64,30863
2024-10-08 13:28:00-04:00,217.69,217.69,217.63,217.64,217.64,19116
2024-10-08 13:27:00-04:00,217.7,217.7498,217.69,217.7,217.7,6146
2024-10-08 13:26:00-04:00,217.76,217.81,217.69,217.7,217.7,10735
2024-10-08 13:25:00-04:00,217.74,217.78,217.72,217.7532,217.7532,8788
2024-10-08 13:24:00-04:00,217.73,217.77,217.63,217.7399,217.7399,24696
2024-10-08 13:23:00-04:00,217.6296,217.73,217.62,217.73,217.73,19558
2024-10-08 13:22:00-04:00,217.5501,217.64,217.51,217.6296,217.6296,16234
2024-10-08 13:21:00-04:00,217.4642,217.58,217.4642,217.56,217.56,31115
2024-10-08 13:20:00-04:00,217.47,217.51,217.47,217.47,217.47,28702
2024-10-08 13:19:00-04:00,217.4645,217.55,217.42,217.46,217.46,30364
2024-10-08 13:18:00-04:00,217.4,217.48,217.36,217.48,217.48,475824
2024-10-08 13:17:00-04:00,217.4783,217.49,217.4,217.408,217.408,52285
2024-10-08 13:16:00-04:00,217.5,217.52,217.41,217.47,217.47,17063
2024-10-08 13:15:00-04:00,217.66,217.66,217.5,217.52,217.52,12520
2024-10-08 13:14:00-04:00,217.63,217.64,217.58,217.64,217.64,8531
2024-10-08 13:13:00-04:00,217.67,217.67,217.58,217.62,217.62,22905
2024-10-08 13:12:00-04:00,217.46,217.6799,217.46,217.65,217.65,24067
2024-10-08 13:11:00-04:00,217.52,217.58,217.44,217.47,217.47,82825
2024-10-08 13:10:00-04:00,217.59,217.62,217.5,217.52,217.52,80687
2024-10-08 13:09:00-04:00,217.61,217.64,217.51,217.595,217.595,30651
2024-10-08 13:08:00-04:00,217.74,217.74,217.57,217.63,217.63,29865
2024-10-08 13:07:00-04:00,217.77,217.82,217.71,217.77,217.77,11821
2024-10-08 13:06:00-04:00,217.5809,217.78,217.5809,217.767,217.767,15373
2024-10-08 13:05:00-04:00,217.72,217.72,217.54,217.56,217.56,85152
2024-10-08 13:04:00-04:00,217.8064,217.82,217.695,217.72,217.72,14070
2024-10-08 13:03:00-04:00,217.93,217.93,217.76,217.8,217.8,19972
2024-10-08 13:02:00-04:00,217.95,217.985,217.92,217.945,217.945,12360
2024-10-08 13:01:00-04:00,217.99,218.0057,217.94,217.97,217.97,16480
2024-10-08 13:00:00-04:00,218.01,218.035,217.92,218.01,218.01,22211
2024-10-08 12:59:00-04:00,217.96,217.96,217.96,217.96,217.96,6651
2024-10-08 12:58:00-04:00,217.87,217.93,217.86,217.91,217.91,19952
