Time,Open,High,Low,Close,Adj Close,Volume
2024-08-23 15:59:00-04:00,562.315,562.46,562.07,562.09,562.09,1196247
2024-08-23 15:58:00-04:00,562.24,562.42,562.23,562.315,562.315,534781
2024-08-23 15:57:00-04:00,562.31,562.385,562.13,562.24,562.24,404688
2024-08-23 15:56:00-04:00,562.19,562.34,561.94,562.32,562.32,384459
2024-08-23 15:55:00-04:00,562.47,562.68,562.12,562.19,562.19,495910
2024-08-23 15:54:00-04:00,561.93,562.5,561.87,562.48,562.48,374797
2024-08-23 15:53:00-04:00,561.89,561.97,561.77,561.9499,561.9499,263436
2024-08-23 15:52:00-04:00,561.91,562.1,561.81,561.92,561.92,287096
2024-08-23 15:51:00-04:00,561.7101,562.01,561.7101,561.9101,561.9101,223643
2024-08-23 15:50:00-04:00,561.7,561.92,561.33,561.74,561.74,301948
2024-08-23 15:49:00-04:00,561.48,561.8,561.4664,561.695,561.695,279409
2024-08-23 15:48:00-04:00,561.28,561.56,561.21,561.5,561.5,198475
2024-08-23 15:47:00-04:00,561.11,561.39,561.08,561.29,561.29,471528
2024-08-23 15:46:00-04:00,561.1,561.16,560.96,561.1187,561.1187,182962
2024-08-23 15:45:00-04:00,561.26,561.29,560.71,561.1,561.1,415218
2024-08-23 15:44:00-04:00,561.36,561.425,561.23,561.245,561.245,93972
2024-08-23 15:43:00-04:00,561.45,561.51,561.32,561.35,561.35,110058
2024-08-23 15:42:00-04:00,561.79,561.81,561.4,561.46,561.46,486839
2024-08-23 15:41:00-04:00,561.72,561.8191,561.62,561.79,561.79,218488
2024-08-23 15:40:00-04:00,561.51,561.7499,561.48,561.7201,561.7201,95391
2024-08-23 15:39:00-04:00,561.575,561.59,561.34,561.52,561.52,129072
2024-08-23 15:38:00-04:00,561.63,561.74,561.57,561.5701,561.5701,68884
2024-08-23 15:37:00-04:00,561.65,561.75,561.57,561.625,561.625,215866
2024-08-23 15:36:00-04:00,561.7,561.72,561.46,561.6697,561.6697,254801
2024-08-23 15:35:00-04:00,561.89,561.92,561.69,561.72,561.72,121922
2024-08-23 15:34:00-04:00,562.03,562.03,561.71,561.9,561.9,219107
2024-08-23 15:33:00-04:00,562.05,562.06,561.95,562.03,562.03,73980
2024-08-23 15:32:00-04:00,561.95,562.05,561.9101,562.05,562.05,82033
2024-08-23 15:31:00-04:00,562.12,562.14,561.91,561.97,561.97,240841
2024-08-23 15:30:00-04:00,562.17,562.28,562.07,562.1101,562.1101,138843
2024-08-23 15:29:00-04:00,562.12,562.27,562.0799,562.17,562.17,77439
2024-08-23 15:28:00-04:00,562.0,562.16,561.945,562.13,562.13,88792
2024-08-23 15:27:00-04:00,561.8995,562.05,561.89,562.02,562.02,59730
2024-08-23 15:26:00-04:00,561.88,561.99,561.85,561.895,561.895,78184
2024-08-23 15:25:00-04:00,561.91,561.98,561.83,561.9212,561.9212,233973
2024-08-23 15:24:00-04:00,561.73,562.0,561.71,561.915,561.915,96723
2024-08-23 15:23:00-04:00,561.72,561.77,561.54,561.72,561.72,65945
2024-08-23 15:22:00-04:00,561.55,561.6713,561.54,561.55,561.55,69410
2024-08-23 15:21:00-04:00,561.63,561.75,561.59,561.63,561.63,41951
