Time,Open,High,Low,Close,Adj Close,Volume
2024-08-23 15:55:00-04:00,562.47,562.68,561.94,562.09,562.09,3016085
2024-08-23 15:50:00-04:00,561.7,562.5,561.33,562.48,562.48,1450920
2024-08-23 15:45:00-04:00,561.26,561.8,560.71,561.695,561.695,1547592
2024-08-23 15:40:00-04:00,561.51,561.8191,561.23,561.245,561.245,1004748
2024-08-23 15:35:00-04:00,561.89,561.92,561.34,561.52,561.52,790545
2024-08-23 15:30:00-04:00,562.17,562.28,561.71,561.9,561.9,754804
2024-08-23 15:25:00-04:00,561.91,562.27,561.83,562.17,562.17,538118
2024-08-23 15:20:00-04:00,561.66,562.0,561.54,561.915,561.915,419537
2024-08-23 15:15:00-04:00,561.46,561.7275,561.31,561.65,561.65,370702
2024-08-23 15:10:00-04:00,560.885,561.79,560.88,561.6,561.6,501544
2024-08-23 15:05:00-04:00,560.46,560.8888,560.43,560.8888,560.8888,201213
2024-08-23 15:00:00-04:00,560.76,560.77,560.1623,560.49,560.49,293480
2024-08-23 14:55:00-04:00,561.01,561.1,560.37,560.76,560.76,388273
2024-08-23 14:50:00-04:00,561.09,561.17,560.89,561.02,561.02,225655
2024-08-23 14:45:00-04:00,560.97,561.18,560.94,561.03,561.03,220038
2024-08-23 14:40:00-04:00,560.79,561.12,560.72,560.96,560.96,319393
2024-08-23 14:35:00-04:00,560.63,560.91,560.4899,560.78,560.78,347402
2024-08-23 14:30:00-04:00,560.86,560.87,560.6,560.64,560.64,215272
2024-08-23 14:25:00-04:00,560.91,560.977,560.69,560.86,560.86,160264
2024-08-23 14:20:00-04:00,560.89,560.91,560.255,560.88,560.88,237791
2024-08-23 14:15:00-04:00,560.882,561.02,560.725,560.8501,560.8501,184277
2024-08-23 14:10:00-04:00,560.64,560.98,560.4901,560.9,560.9,408852
2024-08-23 14:05:00-04:00,560.728,560.8,560.48,560.628,560.628,303155
2024-08-23 14:00:00-04:00,560.39,560.74,560.2,560.732,560.732,284082
2024-08-23 13:55:00-04:00,560.55,560.58,560.16,560.39,560.39,253214
2024-08-23 13:50:00-04:00,560.48,560.67,560.17,560.56,560.56,287786
2024-08-23 13:45:00-04:00,560.93,560.98,560.31,560.4761,560.4761,322601
2024-08-23 13:40:00-04:00,560.52,561.0,560.37,560.9205,560.9205,251672
2024-08-23 13:35:00-04:00,560.32,560.59,560.17,560.52,560.52,146876
2024-08-23 13:30:00-04:00,560.27,560.54,560.22,560.34,560.34,328903
2024-08-23 13:25:00-04:00,559.94,560.43,559.89,560.27,560.27,220940
2024-08-23 13:20:00-04:00,559.58,560.04,559.54,559.94,559.94,210816
2024-08-23 13:15:00-04:00,559.4611,559.8601,559.38,559.6,559.6,226011
